product_id,cost_price,current_price,customer_rating,discount,sales_volume,profit_margin,price_ratio,price_adjustment
1,193.52,127.38,2.0,0.34,667,-66.14000000000001,0.5130911141545155,57.33
2,475.85,334.3,2.0,0.4,70,-141.55,1.004446848146145,69.3
3,368.68,526.31,4.6,0.13,113,157.62999999999994,1.5926587181504568,67.87
4,303.34,444.69,2.0,0.31,214,141.35000000000002,8.71087169441724,58.86
5,86.45,487.81,2.1,0.29,76,401.36,1.0607563006936742,59.24
6,86.44,402.09,4.0,0.42,360,315.65,3.6596887230363153,88.4
7,38.46,421.52,2.8,0.45,334,383.06,1.048974716304997,79.66
8,434.43,512.53,4.1,0.01,709,78.09999999999997,1.1964377421915122,44.91
9,304.55,164.81,1.3,0.34,330,-139.74,0.4146476463632475,53.7
10,356.96,303.87,3.0,0.03,887,-53.089999999999975,0.9357043879907622,34.13
11,20.09,148.3,1.1,0.27,880,128.21,6.498685363716039,39.2
12,485.26,592.85,1.3,0.14,213,107.59000000000003,2.8529836381135705,34.87
13,417.9,567.55,4.6,0.15,947,149.64999999999998,1.6762160725361055,61.53
14,114.05,42.87,1.6,0.18,967,-71.18,0.19285617886544604,34.33
15,99.09,429.23,3.1,0.31,273,330.14,0.899928715196243,69.27
16,99.87,556.64,2.6,0.17,833,456.77,3.0888407968481215,44.67
17,159.08,124.73,2.4,0.37,195,-34.35000000000001,0.7250058126017206,69.05
18,267.13,349.41,4.6,0.2,999,82.28000000000003,2.221155679867777,66.01
19,221.65,550.98,1.1,0.03,917,329.33000000000004,2.854227103191049,14.83
20,152.7,39.69,3.7,0.39,79,-113.00999999999999,0.12672009195108713,85.21
21,309.81,424.5,4.9,0.14,94,114.69,1.0794659885568976,72.06
22,78.35,192.46,3.2,0.22,836,114.11000000000001,0.5209083281457222,55.64
23,153.15,556.15,4.7,0.34,520,403.0,1.2438217073334377,85.8
24,189.52,583.21,1.2,0.17,83,393.69000000000005,1.1927560536649215,38.17
25,233.47,567.67,2.7,0.03,702,334.19999999999993,1.2570194862710362,32.98
26,394.74,295.04,2.0,0.19,476,-99.69999999999999,11.73587907716786,44.24
27,107.84,519.98,3.9,0.47,879,412.14,1.2722156977882169,87.21
28,261.97,509.84,4.9,0.32,935,247.86999999999995,4.030674361609614,81.65
29,300.28,205.08,2.0,0.34,270,-95.19999999999996,2.381328379006038,61.3
30,32.76,500.77,3.6,0.32,917,468.01,1.4043299026893632,68.83
31,307.7,41.46,1.8,0.1,583,-266.24,0.22283134472750726,32.17
32,93.56,365.84,3.3,0.21,741,272.28,8.029850746268655,56.59
33,41.88,153.41,2.9,0.38,997,111.53,1.730903757192824,67.03
34,474.95,89.93,4.9,0.05,416,-385.02,5.8019354838709685,59.84
35,483.16,64.63,3.4,0.14,981,-418.53000000000003,0.12972180964232666,48.19
36,406.11,423.85,2.4,0.14,890,17.74000000000001,15.046148384806532,39.1
37,159.26,217.13,1.5,0.22,792,57.870000000000005,1.7088776955768927,39.08
38,57.86,440.36,1.6,0.49,964,382.5,1.85258729490955,65.36
39,345.27,57.91,1.9,0.03,599,-287.36,0.28143072362346305,26.01
40,225.67,202.87,2.0,0.26,631,-22.799999999999983,0.4035045846013088,49.69
41,69.8,332.9,4.4,0.09,165,263.09999999999997,9.108071135430917,61.35
42,252.64,478.62,3.2,0.49,288,225.98000000000002,1.655952669273086,88.12
43,26.85,204.88,3.1,0.06,384,178.03,0.5404949084577639,43.16
44,455.57,383.02,1.5,0.2,490,-72.55000000000001,0.745958789389631,40.1
45,136.8,533.87,4.4,0.37,197,397.07,1.5389737676563853,89.03
46,334.64,377.2,3.9,0.35,58,42.56,0.8476214017662524,83.42
47,162.74,155.12,1.3,0.21,337,-7.6200000000000045,2.594413781568824,40.63
48,264.83,34.15,3.8,0.17,437,-230.67999999999998,0.15418999458190355,60.63
49,277.89,524.66,3.2,0.2,99,246.76999999999998,2.4395982516507018,61.01
50,100.58,32.34,1.3,0.13,899,-68.24,0.06611333714939897,27.01
51,485.1,527.33,2.8,0.1,566,42.23000000000002,5.494165451135653,42.34
52,389.82,326.78,2.9,0.24,965,-63.04000000000002,3.394764180344899,53.35
53,470.35,564.66,1.7,0.13,904,94.30999999999995,2.9597442079882583,30.96
54,448.47,483.29,4.8,0.14,687,34.81999999999999,10.949025826914363,65.13
55,302.97,598.8,4.4,0.33,636,295.8299999999999,5.3169952051145435,80.64
56,461.72,223.41,3.7,0.48,726,-238.31000000000003,0.42042567605713316,87.74
57,53.36,464.97,2.8,0.3,327,411.61,1.9049901671583087,64.73
58,106.03,253.12,2.6,0.04,885,147.09,0.716789850763175,31.15
